Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Maruti,Baleno Zeta,2020,Comprehensive,Petrol,5,22051,First Owner,Manual,2020,21.01,1197.0,1197.0,6.98
Hyundai,Verna 1.6 VTVT SX Option,2017,Third Party insurance,Petrol,5,50000,First Owner,Manual,2017,17.01,1591.0,1591.0,6.75
BMW,2 Series 220i M Sport Pro BSVI,2022,Comprehensive,Petrol,5,15000,First Owner,Automatic,2022,14.82,1998.0,1998.0,42.0
Tata,Tiago XZ Plus Dual Tone Roof BSVI,2020,Comprehensive,Petrol,5,27138,First Owner,Manual,2020,19.01,1199.0,1199.0,5.92
Maruti,Baleno 1.2 Delta,2022,Comprehensive,Petrol,5,15000,First Owner,Manual,2022,21.4,1197.0,1197.0,7.25
Mercedes-Benz,CLS-Class 250 CDI,2018,Third Party insurance,Diesel,4,10000,First Owner,Automatic,2018,19.4,2143.0,2143.0,38.0
Kia,Sonet HTX Plus Turbo iMT BSVI,2021,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,18.2,998.0,998.0,10.2
Kia,Seltos GTX Plus Diesel AT,2020,Comprehensive,Diesel,5,70000,First Owner,Automatic,2020,18.0,1493.0,1493.0,14.95
Mercedes-Benz,C-Class Progressive C 220d,2020,Comprehensive,Diesel,5,30000,First Owner,Automatic,2020,12.6,1950.0,1950.0,37.5
Hyundai,i20 N-Line N8 DCT BSVI,2022,Comprehensive,Petrol,5,16684,First Owner,Automatic,2021,20.25,998.0,998.0,11.11
Ford,Ecosport 1.5 Diesel Titanium Plus,2016,Comprehensive,Diesel,5,59870,First Owner,Manual,2016,21.7,1498.0,1498.0,4.95
Hyundai,i20 Sportz 1.2,2016,Comprehensive,Petrol,5,62700,First Owner,Manual,2016,18.6,1197.0,1197.0,5.22
Kia,Seltos HTX Plus AT D,2019,Third Party insurance,Diesel,5,42132,First Owner,Automatic,2019,17.8,1493.0,1493.0,14.75
Mercedes-Benz,CLA 200 CGI Sport,2018,Third Party insurance,Petrol,5,32000,First Owner,Automatic,2018,15.04,1991.0,1991.0,25.75
Maruti,A-Star Zxi,2010,Comprehensive,Petrol,5,58873,First Owner,Manual,2010,19.0,998.0,998.0,1.82
Renault,Duster Petrol RXS CVT,2018,Comprehensive,Petrol,5,10000,First Owner,Automatic,2018,14.99,1498.0,1498.0,7.95
Tata,Altroz XZ Plus BSVI,2023,Comprehensive,Petrol,5,14069,First Owner,Manual,2022,19.33,1199.0,1199.0,8.24
Renault,Duster RXL AWD,2014,Third Party insurance,Diesel,5,80000,First Owner,Manual,2014,19.01,1461.0,1461.0,2.85
Honda,City i VTEC V,2016,Comprehensive,Petrol,5,57453,First Owner,Manual,2016,17.8,1497.0,1497.0,6.24
Mercedes-Benz,GLS 350d 4MATIC,2016,Third Party insurance,Diesel,7,40000,Second Owner,Automatic,2016,11.0,2987.0,2987.0,43.33
BMW,X1 sDrive20i xLine,2018,Third Party insurance,Petrol,5,17860,First Owner,Automatic,2018,15.71,1998.0,1998.0,29.9
Toyota,Innova Crysta 2.8 ZX AT BSIV,2020,Comprehensive,Diesel,7,52000,First Owner,Automatic,2020,11.36,2755.0,2755.0,22.5
Mercedes-Benz,S-Class S 350 d,2020,Comprehensive,Diesel,5,27200,First Owner,Automatic,2019,13.5,2925.0,2925.0,77.0
Hyundai,Grand i10 Asta Option,2014,Comprehensive,Petrol,5,25260,First Owner,Manual,2014,18.9,1197.0,1197.0,4.37
BMW,5 Series 520d Luxury Line,2020,Zero Dep,Diesel,5,21421,Second Owner,Automatic,2019,20.37,1995.0,1995.0,45.9
Hyundai,i10 Sportz,2015,Comprehensive,Petrol,5,70215,First Owner,Manual,2015,20.36,1197.0,1197.0,3.08
Hyundai,Alcazar Platinum (O) Diesel AT,2022,Comprehensive,Diesel,6,32900,First Owner,Automatic,2022,23.8,1493.0,1493.0,20.0
